"token","cv_mean","cv_sd","cv","global_freq","relfreq_class_1","relfreq_class_2","relfreq_class_3","relfreq_class_4","relfreq_class_5"
"similar",0.00103261289158713,0.000106860330926124,0.1035,1646,0.000881988202667866,0.00105757931844888,0.000973796497473888,0.00115559582357904,0.00109410461576595
"number",0.000688042577951969,7.17571229723758e-05,0.1043,1069,0.00077543929227846,0.000742160925227287,0.000670139525143321,0.000594073909304716,0.000658399237806059
"use",0.00133649151832511,0.000139419170920146,0.1043,2155,0.00129930476835971,0.00111942606221782,0.00143451742100992,0.00135362046001394,0.00147558888002417
"follow",0.00128721441894136,0.000135982226205384,0.1056,2103,0.00131410322813602,0.00112561073659472,0.00116750870396063,0.001399735786307,0.00142911363970845
"although",0.00102243160888474,0.000110742454165633,0.1083,1583,0.00098261772914675,0.00116890345723298,0.00104185754299626,0.000865340534558012,0.00105343878048969
"mg",0.00133240119244692,0.000145328934176341,0.1091,2093,0.00124603031316501,0.00139155173480116,0.00123033428444282,0.00156249576145898,0.00123159386836663
"followed",0.000626230737768854,6.86437873062199e-05,0.1096,1017,0.000648172538202224,0.000513327973282207,0.00064396219994241,0.000626625904335112,0.000699065073082315
"data",0.0011779913688034,0.000129381680739531,0.1098,1878,0.00110988448322299,0.00107613334157957,0.00115703777388026,0.00140244845255954,0.00114445279277465
"whereas",0.000649780788619843,7.14904704437969e-05,0.11,1017,0.000754721448591631,0.00068649885583524,0.000581136619460224,0.000632051236840178,0.000594495782371941
"studies",0.00149306119758518,0.000167295240053576,0.112,2304,0.00153608012478061,0.00137918238604737,0.00171723253317976,0.00154893243019632,0.00128387851372181
"compared",0.00202214583208014,0.000226975215312262,0.1122,3184,0.00174621825360416,0.00220792875255118,0.00185859008926468,0.00228406498463275,0.00201392708034794
"first",0.00122687018111109,0.000139012815550827,0.1133,1921,0.00107436817975985,0.00132970499103222,0.00130363079500537,0.00107692850225558,0.00134971843750242
"evidence",0.000931520967493764,0.000105642513775557,0.1134,1433,0.000932302965907308,0.000878223761518956,0.00110991858851863,0.00090060519584094,0.000836554325682992
"well",0.00109859522454942,0.000125716658846772,0.1144,1717,0.00129042569249393,0.00111942606221782,0.00108374126331771,0.000944007855881467,0.00105537524883618
"eight",0.000839693893217466,9.64882593853912e-05,0.1149,1362,0.000879028510712605,0.00085348506401138,0.000696316850344232,0.000811087209507353,0.000958551831511762
"three",0.00244921943669696,0.000283161509085087,0.1156,3871,0.00280282828163245,0.00255427051765725,0.00227742729247925,0.00206705168443011,0.00254451940728577
"treatment",0.00397100104431212,0.000467203269223161,0.1177,6161,0.00458456283869975,0.00432927206382584,0.00376953482893118,0.00346136213823205,0.00371027335187179
"either",0.00095133691577963,0.000113100662572328,0.1189,1527,0.000781358676188982,0.000964809202795473,0.000916206382031884,0.00101182451219479,0.00108248580568702
"time",0.00163931461736279,0.000195800166214175,0.1194,2634,0.00137329706724124,0.00158946131486177,0.00157587497709484,0.00187445238050027,0.00178348734711582
"within",0.00104514400265165,0.000125253596923262,0.1198,1689,0.000950061117638876,0.00091533180778032,0.00112038951859899,0.00101996251095239,0.0012199750582877
"possible",0.000651853526937922,7.94491605781445e-05,0.1219,1004,0.000736963296860063,0.000643206135196982,0.000727729640585325,0.000558809248021788,0.000592559314025453
"years",0.00275021060642596,0.000342863915671782,0.1247,4447,0.00296857103112708,0.00214608200878224,0.00284809298185911,0.00295138088275585,0.00283692612760552
"five",0.00132380612069334,0.000165515630609879,0.125,2099,0.00147096690176486,0.0014533984785701,0.00114133137875972,0.00114745782482144,0.00140587601955058
"without",0.00158034951487266,0.000202455594590167,0.1281,2448,0.00136737768333072,0.00185540231306822,0.00146069474621083,0.00172525573661096,0.00149301709514256
"seen",0.000724312739089495,9.28690607292431e-05,0.1282,1105,0.000763600524457414,0.000834931040880698,0.000753906965786236,0.000591361243052184,0.000677763921270943
"difference",0.00060510314783568,7.7811640828674e-05,0.1286,985,0.00054754301172334,0.000556620693920465,0.000544488364178948,0.000710718558163633,0.000666145111192012
"included",0.00057333574437374,7.40488758680214e-05,0.1292,942,0.000583059315186475,0.000482404601397736,0.000554959294259313,0.000558809248021788,0.000687446263003385
"long",0.00110528157156526,0.000146003593966855,0.1321,1783,0.000929343273952047,0.00106376399282578,0.00103138661291589,0.00129936713496328,0.0012025468431693
"clinical",0.00281626998744176,0.000375240876546031,0.1332,4356,0.00298336949090339,0.00256045519203414,0.00339781681107824,0.00249836561858285,0.00264134282461019
"determine",0.000787713358657545,0.000106179047190917,0.1348,1254,0.000630414386470656,0.000834931040880698,0.000732965105625507,0.000897892529588407,0.000842363730722458
"early",0.00117481988564132,0.000159630222753663,0.1359,1914,0.00124011092925448,0.000902962459026532,0.00117797963404099,0.00131564313247848,0.00123740327340609
"associated",0.00255272628702386,0.000347081465402614,0.136,3940,0.00219017204689336,0.00296245902653225,0.00272244182089474,0.00218912166579409,0.00269943687500484
"weeks",0.000718252075715595,9.95973568281418e-05,0.1387,1131,0.000574180239320692,0.000785453645865545,0.000675374990183503,0.000830075873275083,0.000726175629933153
"one",0.00334816883462067,0.000466604900643124,0.1394,5303,0.00380616385446603,0.00364895788236749,0.00295803774770294,0.00274521824756335,0.00358246644100356
"presence",0.000966300909857133,0.000135473690011259,0.1402,1512,0.00118387678210452,0.00101428659781063,0.000869087196670244,0.00087347853331561,0.000890775439384668
"range",0.000677515021614017,9.72477363110483e-05,0.1435,1041,0.00052386547608125,0.000779268971488651,0.000738200570665689,0.000664603231870573,0.00068163685796392
"day",0.000778680933102869,0.000114897769926325,0.1476,1257,0.000645212846246963,0.000779268971488651,0.00069108138530405,0.00092773185836627,0.000850109604108411
"however",0.00126089806571413,0.000186390311048111,0.1478,2005,0.00131114353618075,0.001459583152947,0.000952854637313159,0.00127766580494302,0.0013032431971867
"activity",0.00124542891291154,0.00018439395544389,0.1481,1869,0.00112764263495455,0.00149050652483147,0.00130886626004555,0.00129122913620569,0.00100890000852046
"management",0.000794197031594359,0.000117966247886259,0.1485,1248,0.000742882680770585,0.000804007668996227,0.000900499986911337,0.000621200571830046,0.000902394249463598
"examined",0.000687183221168147,0.000102167936159703,0.1487,1079,0.000686648533620621,0.000556620693920465,0.000842909871469333,0.000683591895638304,0.000666145111192012
"response",0.00128340865657557,0.000194729502112181,0.1517,2025,0.00161303211561741,0.00125548889850949,0.00120939242428209,0.00109591716602331,0.00124321267844556
"suggest",0.000975858603757007,0.000148123611199799,0.1518,1504,0.00101517434065462,0.000921516482157214,0.00119892149420172,0.000794811211992155,0.00094886948977932
"term",0.000956125205760753,0.000147871045154377,0.1547,1532,0.000784318368144244,0.000952439854041685,0.000874322661710426,0.00118000981985183,0.000989535325055577
"effective",0.000734854422119309,0.000113912084565022,0.155,1140,0.000594898083007521,0.000896777784649638,0.000670139525143321,0.000778535214476957,0.000733921503319107
"high",0.00189078705248935,0.000298379178443051,0.1578,3007,0.00214577666756444,0.00170078545364587,0.00169629067301903,0.00227863965212768,0.00163244281608973
"based",0.000698030807886833,0.00011097324726698,0.159,1052,0.000734003604904801,0.000810192343373121,0.000774848825946965,0.000539820584254057,0.000631288680955221
"following",0.000871451616524673,0.000141706469279857,0.1626,1381,0.00066297099797853,0.000878223761518956,0.00097903196251407,0.000816512542012419,0.00102051881859939
"four",0.0016156423018699,0.000264405552668872,0.1637,2530,0.00186460593181462,0.00184303296431443,0.00144498835109029,0.00125053914241769,0.00167504511971247
"non",0.000668183738270444,0.000110944821183859,0.166,1021,0.000813915287696856,0.000698868204589028,0.000712023245464778,0.000537107918001525,0.000579004035600034
"differences",0.000695641604826937,0.000115520444272163,0.1661,1084,0.00052386547608125,0.000667944832704558,0.000842909871469333,0.000726994555678831,0.000716493288200711
"died",0.000546190678139166,9.42183179676433e-05,0.1725,896,0.000591938391052259,0.000550436019543571,0.0003821889479333,0.000602211908062315,0.000604178124104383
"including",0.00072388008511984,0.000125111663986836,0.1728,1165,0.000855350975070515,0.000568990042674253,0.000795790686107694,0.000613062573072447,0.000786206148674294
"lower",0.00104043724207603,0.00017982898390681,0.1728,1634,0.000757681140546892,0.00112561073659472,0.00102615114787571,0.00124511380991262,0.00104762937545023
"six",0.0012316990162221,0.000213046098684712,0.173,1940,0.00121643339361239,0.001459583152947,0.00112562498363917,0.000941295189628934,0.00141555836128303
"year",0.00168401633265479,0.000291669477528694,0.1732,2713,0.00212505882387761,0.0013544436885398,0.00170152613805921,0.00150010443765072,0.00173894857514659
"medical",0.000582802979878519,0.000101300453453587,0.1738,906,0.000414356873736582,0.000612282763312512,0.000638726734902228,0.000675453896880705,0.000573194630560569
"previously",0.000568168476042921,9.88602055058898e-05,0.174,906,0.000692567917531143,0.000482404601397736,0.000612549409701317,0.000453015264173003,0.000600305187411407
"surgery",0.0016417115928752,0.000286120777868076,0.1743,2725,0.00163374995930424,0.00160801533799245,0.00124080521452318,0.0016791404103179,0.00204684704223825
"factors",0.00116370328633351,0.000203721681913018,0.1751,1882,0.00115723955450717,0.000872039087142062,0.00120939242428209,0.00144313844634753,0.0011367069193887
"showed",0.00158367536203717,0.000278573547842621,0.1759,2438,0.0017284601018726,0.00144721380419321,0.00197900578518887,0.00125325180867022,0.00151044531026096
"single",0.00064747406533722,0.000114615851536312,0.177,1057,0.000680729149710098,0.000445296555136372,0.000722494175545143,0.000678166563133238,0.000710683883161246
"history",0.000668782377420197,0.00011905128304099,0.178,1046,0.000514986400215466,0.000612282763312512,0.000780084290987147,0.000797523878244688,0.000639034554341175
"received",0.000756184553923307,0.000136071263381467,0.1799,1235,0.000953020809594137,0.000692683530212134,0.000617784874741499,0.000680879229385771,0.000836554325682992
"months",0.00199611648073398,0.000362998421294,0.1819,3209,0.0025157381619721,0.00198528047498299,0.00169629067301903,0.00162217441901471,0.00216109867468106
"treated",0.00184737158260774,0.000337007658406718,0.1824,2927,0.00237959233203008,0.00192343373121405,0.00154446218685375,0.00157877175897418,0.00181059790396666
"significant",0.0021631848956491,0.000403042164982781,0.1863,3456,0.00171366164209629,0.00210897396252087,0.00202612497055051,0.0028157475701292,0.00215141633294862
"respectively",0.00099806913892549,0.000188159366759261,0.1885,1594,0.0010477309521625,0.00113798008534851,0.000685845920263867,0.00114474515856891,0.000974043578283669
"second",0.000563534702386613,0.000106233693889249,0.1885,914,0.00073104391294954,0.000525697322035995,0.000439779063375304,0.000547958583011656,0.000573194630560569
"administration",0.00063895744270751,0.000120967289508353,0.1893,979,0.000485389480662853,0.000791638320242439,0.000602078479620952,0.000726994555678831,0.000588686377332476
"level",0.000805834352686289,0.000152579915527742,0.1893,1240,0.000831673439428424,0.000661760158327664,0.00105232847307662,0.000778535214476957,0.000704874478121781
"effect",0.00131044790000671,0.000248823572785304,0.1899,2118,0.00110396509931246,0.00110705671346404,0.00129839532996518,0.00171440507160083,0.00132841728569105
"due",0.000935171023466453,0.000178868679281526,0.1913,1464,0.000627454694515395,0.000946255179664791,0.00108374126331771,0.00101724984469986,0.00100115413513451
"performed",0.001390822567989,0.000266839309361159,0.1919,2230,0.00117203801428347,0.00162038468674624,0.00104185754299626,0.00161132375400457,0.00150850884191447
"contrast",0.000668333862254513,0.000128847226376039,0.1928,988,0.00068368884166536,0.000859669738388274,0.000670139525143321,0.000626625904335112,0.000501545301740498
"revealed",0.000640691535359687,0.00012368419538879,0.193,1007,0.000701446993396927,0.000544251345166677,0.000790555221067511,0.000485567259203398,0.00068163685796392
"whether",0.000582574882361835,0.000112615573358789,0.1933,905,0.000482429788707591,0.000735976250850393,0.00047642731865658,0.000656465233112974,0.000561575820481638
"risk",0.00218327673044147,0.000425031432334646,0.1947,3504,0.00205106652499608,0.00196054177747542,0.00195806392502814,0.00294053021774572,0.00200618120696199
"period",0.00107723191078648,0.00021122647234209,0.1961,1728,0.000748802064681108,0.00102047127218752,0.00112038951859899,0.00130750513372088,0.00118899156474388
"diagnostic",0.000630325257062682,0.000123696502831636,0.1962,933,0.00063929346233644,0.000711237553342817,0.000785319756027329,0.000490992591708464,0.000524782921898359
"total",0.00125568446154654,0.000246906046096177,0.1966,2045,0.00116019924646243,0.00120601150349434,0.00097903196251407,0.00164930108154003,0.00128387851372181
"peripheral",0.000573792689361662,0.000113592889365672,0.198,907,0.000645212846246963,0.000408188508875008,0.000706787780424596,0.000572372579284453,0.000536401731977289
"underwent",0.000945040634076727,0.000189729090416317,0.2008,1553,0.00101517434065462,0.000977178551549261,0.000612549409701317,0.00108235383476065,0.00103794703371779
"rates",0.000737356379237786,0.000151045750172151,0.2048,1216,0.000805036211831073,0.000742160925227287,0.00047642731865658,0.000851777203295347,0.000811380237178643
"found",0.00179296281967313,0.000367748332362012,0.2051,2767,0.00218425266298284,0.00205331189312883,0.00172770346326012,0.00123155047864996,0.00176799560034392
"low",0.00116627011067563,0.000240032083320558,0.2058,1942,0.0012697078488071,0.000983363225926155,0.00085861626658988,0.00145127644510513,0.00126838676694991
"thus",0.000600053697795151,0.000123903838323864,0.2065,968,0.000645212846246963,0.000525697322035995,0.000497369178817308,0.000797523878244688,0.000534465263630801
"reported",0.00115138364697508,0.000239418584224949,0.2079,1741,0.00122235277752292,0.00112561073659472,0.00150257846653229,0.000849064537042814,0.00105731171718267
"drug",0.000742381297829209,0.00015525083299142,0.2091,1133,0.000520905784125988,0.000748345599604181,0.000926677312112248,0.000838213872032682,0.000677763921270943
"therapy",0.00238813082284513,0.000499745293124002,0.2093,3780,0.00307511994151649,0.00260993258704929,0.00173293892830031,0.00235188164094607,0.00217078101641351
"significantly",0.00223909607980055,0.00047174110439357,0.2107,3467,0.0015449592006464,0.00264085595893376,0.00215177613151488,0.00271809158503802,0.00213979752286969
"large",0.00063346191446621,0.000133841436210211,0.2113,985,0.000858310667025776,0.000612282763312512,0.000628255804821863,0.000512693921728728,0.000555766415442173
"new",0.000799072126891768,0.000170086167274748,0.2129,1297,0.000858310667025776,0.000630836786443194,0.000712023245464778,0.00106607783724545,0.000728112098279642
"required",0.00065914867911894,0.00014063592592008,0.2134,1088,0.00057122054736543,0.000698868204589028,0.000539252899138766,0.000599499241809782,0.000886902502691691
"occurred",0.00109862231255863,0.000242526877564136,0.2208,1812,0.000769519908367937,0.00102047127218752,0.0010575639381168,0.00122612514614489,0.001419431297976
"ml",0.000905921268378014,0.000200258149420337,0.2211,1446,0.000695527609486405,0.00107613334157957,0.00069108138530405,0.00109862983227585,0.000968234173244204
"groups",0.00155354132371042,0.00034625948927475,0.2229,2450,0.00101813403260989,0.00148432185045457,0.00173817439334049,0.00194498170306613,0.00158209463908103
"control",0.00185774705966512,0.000414993112536025,0.2234,2892,0.00122827216143344,0.00182447894118375,0.00214130520143452,0.00231119164715808,0.00178348734711582
"surgical",0.00136516569938103,0.000306458411850002,0.2245,2199,0.00179653301684361,0.00141010575793184,0.00106279940315699,0.00107692850225558,0.00147946181671714
"age",0.00206836047386135,0.00046888416099191,0.2267,3283,0.00179357332488835,0.00149669119920836,0.00254967147456873,0.00254990627738098,0.00195196009326032
"examination",0.000740255682018442,0.000168527126731653,0.2277,1126,0.000881988202667866,0.000760714948357969,0.000884793591790791,0.000474716594193267,0.000699065073082315
"days",0.00112211498881448,0.000256219788983409,0.2283,1803,0.000896786662444173,0.00139773640917806,0.000832438941388969,0.00113389449355877,0.00134971843750242
"procedure",0.000661205305071423,0.000151499963939157,0.2291,1051,0.000514986400215466,0.000847300389634486,0.000502604643857491,0.000678166563133238,0.000762968528516433
"findings",0.00129695000713775,0.000306920939527242,0.2366,1939,0.00149760412936222,0.00132970499103222,0.00165964241773776,0.000884329198325742,0.00111346929923083
"percent",0.000928812029788353,0.000222950410253514,0.24,1530,0.000884947894623128,0.00106994866720267,0.000565430224339677,0.00099283584842706,0.00113089751434923
"report",0.00113016492324417,0.00027715195103561,0.2452,1725,0.00144136998221225,0.00108231801595646,0.00135598544540719,0.000748695885699095,0.00102245528694588
"multiple",0.000769759513942749,0.000188989455479024,0.2455,1191,0.000961899885459921,0.000692683530212134,0.000937148242192613,0.000501843256718596,0.000755222655130479
"case",0.00156470302843065,0.000384419965535684,0.2457,2377,0.00188828346745671,0.00149669119920836,0.00197900578518887,0.00102267517720492,0.0014368595130944
"concentrations",0.000637466464928795,0.000159167176845366,0.2497,928,0.000488349172618114,0.000779268971488651,0.000837674406429151,0.000553383915516722,0.000528655858591335
"duration",0.000630962716811258,0.000157861460531434,0.2502,983,0.00041139718178132,0.000568990042674253,0.000842909871469333,0.000653752566860441,0.000677763921270943
"model",0.000587260628049725,0.000147138192912609,0.2506,964,0.000491308864573375,0.000612282763312512,0.000403130808094029,0.000786673213234556,0.000642907491034152
"group",0.00395899744910361,0.000994250801434142,0.2511,6389,0.00266372275973517,0.00389016018306636,0.00362294180780608,0.00540634384129817,0.00421181865361229
"increased",0.00202664788483298,0.000509143353814826,0.2512,3221,0.00148576536154117,0.00204712721875193,0.00183764822910395,0.00285915023016973,0.00190354838459811
"review",0.000597578037229598,0.000151885994586923,0.2542,902,0.000748802064681108,0.000568990042674253,0.000753906965786236,0.000406899937879943,0.000509291175126451
"presented",0.000656839433958364,0.000168488228480164,0.2565,1013,0.000790237752054766,0.000544251345166677,0.000863851731630062,0.000458440596678069,0.000627415744262244
"free",0.000746326810510732,0.000193177422154834,0.2588,1180,0.00103885187629672,0.000810192343373121,0.00052354650401822,0.000702580559406035,0.00065646276945957
"increase",0.0011402483757803,0.000311943443094331,0.2736,1839,0.000950061117638876,0.00110705671346404,0.00090573545195152,0.0016791404103179,0.00105924818552916
"induced",0.00130874949115486,0.000363092270211103,0.2774,2079,0.000796157135965289,0.00140392108355495,0.00120939242428209,0.00180392305793441,0.00133035375403754
"per",0.00120763237461606,0.000344625276142041,0.2854,1945,0.00113652171082034,0.00160801533799245,0.000743436035705872,0.00106879050349798,0.00148139828506363
"disease",0.00512451007911945,0.00146626214667663,0.2861,7504,0.00448393331222086,0.0076009648092028,0.00449202900447632,0.00520560653861073,0.00384001673108651
"decreased",0.000810909952683139,0.000233378802152754,0.2878,1263,0.000491308864573375,0.000909147133403426,0.000780084290987147,0.00112846916105371,0.000745540313398037
"weight",0.000567226104747402,0.000164783996554095,0.2905,894,0.000420276257647104,0.000791638320242439,0.000392659878013665,0.000588648576799651,0.000642907491034152
"changes",0.00121284128042772,0.000352437231673158,0.2906,1894,0.000686648533620621,0.00123075020100192,0.00132980812020628,0.0016628644128027,0.00115413513450709
"potential",0.000628082187641251,0.000182877152832514,0.2912,982,0.000680729149710098,0.000402003834498114,0.000900499986911337,0.000558809248021788,0.000598368719064918
"alpha",0.000813864701142932,0.000237409054747222,0.2917,1240,0.00116611863037295,0.000828746366503804,0.000863851731630062,0.000528969919243926,0.00068163685796392
"greater",0.00162401108231415,0.000477988689951699,0.2943,2633,0.00111284417517825,0.00143484445543942,0.0015287557917332,0.0024034222997442,0.00164018868947568
"outcome",0.00080390023849173,0.000237395032646513,0.2953,1269,0.000565301163454908,0.000643206135196982,0.00114133137875972,0.000718856556921232,0.000950805958125808
"overall",0.000546084724525535,0.000168724965739677,0.309,899,0.000813915287696856,0.000500958624528419,0.000356011622732389,0.000488279925455931,0.00057125816221408
"abnormal",0.000623901750373729,0.000193662298036438,0.3104,927,0.000429155333512888,0.000612282763312512,0.000947619172272977,0.000553383915516722,0.000577067567253546
"analysis",0.00132161115380533,0.000411109416591363,0.3111,2207,0.00193267884678563,0.000816377017750016,0.00121462788932227,0.00118814781860943,0.00145622419655928
"test",0.000755437706320825,0.000235638906035039,0.3119,1138,0.000473550712841807,0.000698868204589028,0.00112562498363917,0.000770397215719358,0.000708747414814757
"ii",0.000827595683267272,0.000260545536862496,0.3148,1335,0.00121347370165713,0.000859669738388274,0.000486898248736944,0.000824650540770017,0.000753286186783991
"complications",0.00111242003168655,0.000352766802252689,0.3171,1868,0.000739922988815324,0.00122456552662502,0.000821968011308605,0.0011528831573265,0.00162276047435729
"reduced",0.000788813672201168,0.000251492374928849,0.3188,1224,0.000405477797870798,0.000865854412765168,0.000832438941388969,0.00109862983227585,0.00074166737670506
"recurrent",0.000649651435371281,0.000207402156273317,0.3193,1094,0.000734003604904801,0.000618467437689406,0.000528781969058402,0.000412325270385009,0.000954678894818785
"diagnosis",0.00175038821650983,0.000560981800289744,0.3205,2643,0.00251277847001684,0.00210278928814398,0.00160205230229575,0.00108777916726571,0.00144654185482684
"rate",0.00194594340820834,0.000626021413548913,0.3217,3297,0.00183204932030674,0.001459583152947,0.0013821627706081,0.00292967955273559,0.00212624224444427
"dose",0.00104683351444754,0.000337248310806351,0.3222,1729,0.00150944289718326,0.000810192343373121,0.000701552315384414,0.00127766580494302,0.000935314211353901
"frequency",0.000591366920760471,0.000196506815932702,0.3323,914,0.000372921186362923,0.000519512647659101,0.000884793591790791,0.000501843256718596,0.000677763921270943
"factor",0.000905329942741553,0.000301880509279264,0.3334,1470,0.00140585367874912,0.000804007668996227,0.000727729640585325,0.000640189235597777,0.00094886948977932
"loss",0.000613209952041695,0.000204926813753625,0.3342,966,0.00041139718178132,0.000556620693920465,0.000863851731630062,0.000442164599162871,0.000792015553713759
"function",0.00126172422366064,0.00042227593132643,0.3347,1990,0.000713285761217972,0.00116890345723298,0.00137692730556792,0.00187987771300534,0.001169626881279
"lesions",0.00143657475737909,0.000483282356924114,0.3364,2260,0.00228192249750646,0.00115653410847919,0.00139786916572865,0.00119628581736703,0.00115026219781411
"common",0.000956475614094016,0.000321952511019391,0.3366,1410,0.000769519908367937,0.00147813717607768,0.000937148242192613,0.000629338570587645,0.000968234173244204
"acute",0.00207484840056787,0.000699279845693875,0.337,3381,0.00109804571540194,0.00256045519203414,0.0017067616030994,0.00214300633950103,0.00286597315280284
"women",0.00105757058135783,0.000359276850570197,0.3397,1756,0.0016515081110358,0.000804007668996227,0.000743436035705872,0.00103352584221505,0.00105537524883618
"complete",0.000635901845062958,0.000218179401289418,0.3431,1009,0.00098261772914675,0.000674129507081452,0.00047642731865658,0.000428601267900206,0.000617733402529802
"measured",0.000751480080210857,0.000258422931387375,0.3439,1153,0.000375880878318185,0.000791638320242439,0.000863851731630062,0.00107150316975052,0.000654526301113082
